,text_id,text,task_1,task_2,task_3
989,hasoc_en_990,#JohnMcCainDay Thanks for fund raising on the promise of Obamacare repeal from Republican voters only to screw them over by deciding it was more important to put yourself first just to screw Trump in a personal vendetta.    'preciate it. #AmericaFirst #Douchebag https://t.co/GdhglFZIeP,NOT,NONE,NONE
990,hasoc_en_991,Before you say #ShameOnICC please look at those grounds in England and imagine how difficult it was to design cover for grounds with such weird shape. https://t.co/vX9TFxoOq4,NOT,NONE,NONE
991,hasoc_en_992,It look like the rain is granting chivalry to icc board for arrangements shikhar dhawan is the only one to enjoy it. #WC2019 #INDvPAK for arrangements #ShameOnICC,NOT,NONE,NONE
993,hasoc_en_994,@realDonaldTrump @MarshaBlackburn Happy #JohnMcCainDay   #TrumpIsATraitor   #GuiltyAsSin  #WhoreMonger  #LiarInChief   #DerangedDonald   #BillionDollarLoser   #LowIQTrump  #DraftDodger   #PresidentBoneSpurs  #AryanAgentOrange  #NervousDonald,NOT,NONE,NONE
994,hasoc_en_995,@ProFootballTalk @TheRealOJ32 Better watched your head. #murderer,NOT,NONE,NONE
995,hasoc_en_996,"Dear ICC,   Focus on match venue not on Dhoni's gloves!    @ICC @BCCI @englandcricket  #INDvNZ #ENGvWI #ShameOnICC  #RainStopsMatch    'England's rainy weather is putting a damper on cricket fans' moods ☔️'  https://t.co/ZsmcKgDkRd",NOT,NONE,NONE
996,hasoc_en_997,@chandnijafri Any kids #Rapist should be given capital punishment .,NOT,NONE,NONE
998,hasoc_en_999,"#imranhataomulkbachao InshaAllah we will be supporting our Chairman @BBhuttoZardari and @AsifZardariPPP in every protest against this #awamdushman, Nalahiq Niazi..! https://t.co/0ApffXx40Y",NOT,NONE,NONE
999,hasoc_en_1000,ICC is trying their best to stop dhoni from showing his love to army.Dhoni should retaliate by donating his one year income to indian army. #CWC19 #DhoniKeepsTheGlove #DhoniKeepTheGloves #DhoniKeSaathDesh,NOT,NONE,NONE
1000,hasoc_en_1001,#DoctorsFightBack     Parents reaction when a doctor returns home safely in Bengal...😂😂😂 https://t.co/8Ar617t80U,NOT,NONE,NONE
1002,hasoc_en_1003,We stand with @msdhoni infact #indiastandswithdhoni  #DhoniKeepsTheGlove   #IndiaStandsWithDhoni https://t.co/58GaSwrSuK,NOT,NONE,NONE
1003,hasoc_en_1004,👉 Tripura doctors protest in solidarity with doctors in West Bengal  #Justice4DrParibaha  #DoctorsFightBack  👉 'https://t.co/gYuHm8hfxF'  @ATGDAofficial @sanjayswadesh @ChoudhuryKanak @Bismita14 @talk_anderson @JasBJP @Satyanewshi @biswajitroy2009 @AD_BJP @trunilss @jayhind22090440,NOT,NONE,NONE
1005,hasoc_en_1006,"@jyotika35246268 @narendramodi This man completely nailed Mamata, her politics and her hypocrisy. #DoctorsFightBack https://t.co/yvSI1nr5Zp",NOT,NONE,NONE
1006,hasoc_en_1007,"@MedCrisis Thanks @MedCrisis for covering this. For years the working conditions at the government run hospitals remained the same. Being an alumni from Kolkata I feel sorry for my medical friends, seniors and juniors. @arjunkg @SauravChMD we support you #DoctorsFightBack",NOT,NONE,NONE
1008,hasoc_en_1009,Belgian backpacker reveals how Gumtree #rapist lured her into shed and kept her #hostage - Jun 16 @ 10:50 AM ET https://t.co/O3tWQJtrB2,NOT,NONE,NONE
1013,hasoc_en_1014,And the protest is on  @ArdPgimer    #DoctorsFightBack #DoctorsStrike #doctors_against_assualt     @htTweets https://t.co/nLTk7KvTjF,NOT,NONE,NONE
1014,hasoc_en_1015,Nation demand Justice for Twinkle Sharma  Watch Live at Sudarshan News #BindasBol    #TwinkleSharma    #JusticeForTwinkle     #JusticeForTwinkleSharma     #PAKvSL    #DhoniKeepsTheGlove    #DhoniKeSaathDesh    #IndiaWithDhoni    https://t.co/Fj8Xkti9Wr,NOT,NONE,NONE
1015,hasoc_en_1016,⚡⚡ MCK @ 11.35 a.m   Mass resignations begin at R.I.O. Faculty members said the entire dept. will file mass resignations at 2.00 p.m. after filing their resignations at the directors office. They stand in complete solidarity with our protests.   #DoctorsFightBack   #SaveTheDoctors https://t.co/QwGFNeQwjj,NOT,NONE,NONE
1021,hasoc_en_1022,Nothing wrong in wearing the proud badge.. ICC have to consider... #DhoniKeepsTheGlove,NOT,NONE,NONE
1023,hasoc_en_1024,"The IMA has announced Strike, just note the date '17 June'. The ultimatum given by  #MamtaBanerjee is only of 4 hours,  I would like to inform that it will go beyond the time limit.  Be Ready.....  #DoctorsOnStrike  #DoctorsFightBack   👨‍⚕️👩‍⚕️⚕️ https://t.co/iDAUP7ULSD",NOT,NONE,NONE
1025,hasoc_en_1026,"MSD on glove row: Will stick to ICC’s rules   https://t.co/naHXIfGEUh    Thank you @msdhoni for following the rules and keeping Cricket, exactly what it is, A Sport!    Desh Bhakti dikhaneke aur bhi tareeke hai     #CWC19 #DhoniKeepsTheGlove",NOT,NONE,NONE
1026,hasoc_en_1027,"@moneycontrolcom People Think Rohit Steal the Show.  But they Don't know, What happen After That 😝😝😝 #DhoniKeepsTheGlove     #CWC2019 #CWC19 #WorldCup2019",NOT,NONE,NONE
1027,hasoc_en_1028,#DoctorsFightBack is trending at Number 1 on Twitter.    It took half a decade of writing posts as a blogger and pleading as a doctor on social media to finally see this one moment when the Twitterverse is supporting doctors protesting against violence. https://t.co/6QOwUAt77T,NOT,NONE,NONE
1028,hasoc_en_1029,"#DoctorsStrike Chief Minister Mamata Banerjee extends olive branch to doctors, invites them to meet her on Saturday to end stir.  #SaveBengal #DoctorsFightBack   https://t.co/5vvMlfg6XM",NOT,NONE,NONE
1030,hasoc_en_1031,"MARD spokesperson Deepak Munde, 27, said the government needs to spend more on healthcare    https://t.co/9rySVcFEKS    #MumbaiNews #DoctorsProtest #Savethedoctors #DoctorsFightBack",NOT,NONE,NONE
1031,hasoc_en_1032,@msdhoni stand with u.. #DhoniKeepsTheGlove,NOT,NONE,NONE
1032,hasoc_en_1033,India went to play the world cup not on war. It's better to follow the rule of ICC and stay away from controversy to be focused on game..!!    #BCCI #BalidanBadge #DhoniKeSaathDesh #DhoniKeepsTheGlove,NOT,NONE,NONE
1036,hasoc_en_1037,"Time to #win , #GuessAndWin #GalaxyM40   #OMG . Know more here....👇👇👇    #DhoniKeSaathDesh #IndiaWithDhoni #WWESSD #DhoniKeepsTheGlove #BharatRoarsonDay3 #SamsungM40 #Samsung #SaturdayMorning #SaturdayMotivation #CWC19 #BharatBlockbuster #amazonIN #SLvPAK",NOT,NONE,NONE
1038,hasoc_en_1039,"Mahendra Singh Dhoni's love for the Nation, Armed Forces and Soldiers has been intact which is truly commendable. He is Nation's Hero. No one represents our Country better than him. I stand with @msdhoni  #DhoniKeepsTheGlove #DhoniKeSaathDesh   #IndiaWithDhoni   #IndiaWithDhoni https://t.co/JXliqUJBeO",NOT,NONE,NONE
1039,hasoc_en_1040,Please read &amp; Retweet so that this can reach to maximum people !     #Savethedoctors #SaveBengal #doctorsstrike #DoctorsFightBack https://t.co/4gm12uHeGm,NOT,NONE,NONE
1040,hasoc_en_1041,"Onlineshoppee Cube Floating Wall Shelf, Set of 6  @ Rs.999 (mrp-2980)    https://t.co/yN6ShMMdmP    More: https://t.co/B25AcFcsL3    https://t.co/yN6ShMMdmP    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll",NOT,NONE,NONE
1042,hasoc_en_1043,Proud of paramilitary forces and proud of Dhoni  #DhoniKeepsTheGlove https://t.co/EJbKeLitfp,NOT,NONE,NONE
1043,hasoc_en_1044,@ANI Pull out of world cup    #DhoniKeepsTheGlove,NOT,NONE,NONE
1047,hasoc_en_1048,Who will #win in #Cardiff ?    #CWC19 #ENGvBAN #England #Bangladesh #englandfans #CricketWorldCup2019 #DhoniKeepsTheGlove #DhoniKeSaathDesh #IndiaWithDhoni #WWESSD #KnackDhanushBirthdayin50days #NationalFishAndChipDay #FrenchOpen #LoveIsland #DDay75 #RiseOfTheTigers #BCB,NOT,NONE,NONE
1048,hasoc_en_1049,#INDvAUS #AUSvIND #DhoniKeepsTheGlove #CWC19     Who else?????     Like... if you as well https://t.co/hi82lfQPKt,NOT,NONE,NONE
1050,hasoc_en_1051,So will #INDvAUS be with #BalidanBadge Glove or it will be #Balidan of Feelings of #MSDhoni... #DhoniKeepsTheGlove OR #ICC prevails... #CWC19 #ICCWC2019 Jo bhi ho All #india wants is Victory in #AUSvIND match... #IndiaWithDhoni #MenInBlue https://t.co/HgPuCOCK0g,NOT,NONE,NONE
1051,hasoc_en_1052,Official press release of #SaveTheSaviours movement. These are the demands for resuming all duties.     #DoctorsFightBack #Savethedoctors #SaveTheSaviours https://t.co/2XC4BjnnRI,NOT,NONE,NONE
1052,hasoc_en_1053,Today the only bigger question in cricket fan's mind than who will win #INDvsAUS match is which GLOVES will @msdhoni use? #DhoniKeepsTheGlove #MSD #ICCWC2019 #CricketWorldCup2019 @BCCI @ICC,NOT,NONE,NONE
1055,hasoc_en_1056,@LASERDISC420 #Assange is not a #rapist  https://t.co/M4sfW7csXC,NOT,NONE,NONE
1057,hasoc_en_1058,This is getting bigger!  Dr. Plaban Mukherjee the first cardiologist to carry out a successful heart transplant in a govt. medical hospital in India &amp; East India resigns.  #SaveTheDoctors #DoctorsFightBack… https://t.co/Ad1yko9i9d,NOT,NONE,NONE
1059,hasoc_en_1060,The Offiical Press release by Doctors   #Savethedoctors  #DoctorsFightBack @republic @TimesNow @MirrorNow @IndiaToday https://t.co/KHvj5jhFp4,NOT,NONE,NONE
1063,hasoc_en_1064,A very good initiative taken by @AdvTahirSDPI By filing PIL against Mansoor Khan founder and director of IMA group.  May Allah Help you brother @AdvTahirSDPI and may everyone get their hard earned money back.    #IMAJewels #IMAFraud #IMA #IMAFraudCase    https://t.co/uFeCruJFK0,NOT,NONE,NONE
1064,hasoc_en_1065,We Hold Scalpel To Operate And Cure  Not Guns To Treat Mankind Insecure    We Give Painkillers To Reduce Your Pain Not Wound To Make You Blood Stained We Cure Secure And Serve As True Nationalist   We Are Doctors Not Terrorists !   #DoctorsFightBack,NOT,NONE,NONE
1065,hasoc_en_1066,Embassies worldwide are defying Trump &amp; flying the Pride flag without permission. Gotta love that #FuckTrump attitude~ https://t.co/HzWs8mkmLv,NOT,NONE,NONE
1066,hasoc_en_1067,#FuckTrump BREAKING: Trump asserts executive privilege to block access to census documents–President Don… via @POLITICO for iOS https://t.co/ondOP9Bayz,NOT,NONE,NONE
1068,hasoc_en_1069,If you can tweet for Syria and Paris .  Why not for doctors of your own country ?   Such a shame that cm of Bengal is doing injustice to doctors and the normal public is silent.  #DoctorsFightBack #SaveTheSaviour https://t.co/WAoAmpGqcI,NOT,NONE,NONE
1069,hasoc_en_1070,"Doctors are resigning, Its more than 500 Now ...  People are dying without proper treatment !! (Only the Poor)   Ruling govt. Is threatening ,doing whatever they want.  Central government is silent, bcz vote is over  #SaveBengal #DoctorsFightBack",NOT,NONE,NONE
1070,hasoc_en_1071,"Now, they find wearing a 'बलिदान' badge objectionable ? How long will we be tolerating these whimsical dictations. @msdhoni ji, plz don't bow. India stands with u, we won't stop respecting things which bring us pride.   #DhoniKeepTheGlove #Dhoni #DhoniKeepsTheGlove #BalidanBadge https://t.co/uUNyigSJqB",NOT,NONE,NONE
1072,hasoc_en_1073,"@gmanews A simile to 'banggaan ng barko' is 'banggaan ng eroplano'. With the sky so vast (not unlike the waters), when planes collide in flight, it is still an accident? Traitor .@RRD_Davao #TraitorDuterte #BoycottChina",NOT,NONE,NONE
1073,hasoc_en_1074,Some much needed clarification after #trumps unhinged comments yesterday.    #TrumpResignNow #TuckFrump #TrumpIsATraitor #ThursdayThoughts    FACT CHECK: Foreign Interference And 'Opposition Research' Are Not The Same https://t.co/xy34VWVsvA,NOT,NONE,NONE
1074,hasoc_en_1075,#ICC ...look at pak team...wht is going on.....nw this is appropriate...???boycott icc ...  #DhoniKeepsTheGlove https://t.co/FFbXAKDbF9,NOT,NONE,NONE
1075,hasoc_en_1076,Spectacular Win over Australia #TeamIndia   The captain and players has worked hard to defeat the Australian Team.  Also #DhoniKeepsTheGlove!!  #INDvAUS #CWC19 #WorldCup2019 #ViratKohli #ICCWorldCup2019     @BCCI @ICC @cricketworldcup,NOT,NONE,NONE
1076,hasoc_en_1077,THAT IS WHO HE IS!!!! #douchebag #shallow #nothinginside #thebachelorette,NOT,NONE,NONE
1078,hasoc_en_1079,Butterfly Eco SS Water Bottles from Rs.145    https://t.co/1sjwBwzoru    https://t.co/KLsD5lkRAp    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,NOT,NONE,NONE
1079,hasoc_en_1080,#ShameOnICC  @cricketworldcup #CWC19 had to be the best but due to the minor thoughts of @ICC it turned worst  @cricbuzz @BCCI can host the  tournaments best...  #ENGvsWI #WIvENG #CWC2019  Listen Michael Phelps claims the WC trophy coz he is best swimmer  @englandcricket shame on you,NOT,NONE,NONE
1080,hasoc_en_1081,@realDonaldTrump @foxandfriends @FoxNews Its 8:43 did i miss it? Awwww #fucktrump,NOT,NONE,NONE
1081,hasoc_en_1082,@msdhoni @BCCI @thebharatarmy  Every person who is attending next match of Indian team vs australia should wear a t shirt or clothing with balidaan insignia printed on it. That would be good response to ICC.😎😎  #DhoniKeepTheGlove   #DhoniKeepsTheGlove   #BleedBlue  #IndiaWithDhoni,NOT,NONE,NONE
1083,hasoc_en_1084,East Turkestan National Anthem  https://t.co/lgPRDPZZh3  #Uyghur #FreeUyghur #EastTurkistan #StopChina #BoycottChina #Genocide #ウイグル #RT,NOT,NONE,NONE
1084,hasoc_en_1085,"We don’t need check “Date of birth “ of #rapist !!  If he is “matured” enough to #rape , Then he is “matured” enough to be #hanged     #hangrapistspublicly     @BaisDineshsingh   @GoodVibeDoctor   @rajesh250880   @gautamhiranit20   @swamidipankar   @RubikaLiyaquat   @anuraagmuskaan",NOT,NONE,NONE
1085,hasoc_en_1086,Hilarious because closely brushing the truth 😂🤣😂🤣😆😉  #BorisJohnsonShouldNotBePM   Boris Johnson dodging public debates to avoid inadvertently fathering a child during one - https://t.co/fkY6BG4mMD via @newsthump,NOT,NONE,NONE
1087,hasoc_en_1088,"@ShashiTharoor Couldn't agree more.  Stop this atrocities on Doctors.  Have heard they are still diagnosing patients but not taking money since it will be unethical for them to take money during strike, but yet not defying there duty. Deserve respect.  #doctors  #DoctorsProtest   #DoctorsFightBack",NOT,NONE,NONE
1088,hasoc_en_1089,"@ryanstruyk @KattyKay_ So basically, #FuckTrump",NOT,NONE,NONE
1089,hasoc_en_1090,"In supporting #Boris Johnson, desperate MPs know they are backing an idle, lying charlatan, writes Conservative commentator Simon Heffer.    #BorisJohnson #BorisJohnsonShouldNotBePM #StopBrexit  https://t.co/Wb5SMTORSU",NOT,NONE,NONE
1090,hasoc_en_1091,How big of a #douchebag must one be to do this to a #Lamborghini?     #lambo #ATLTraffic https://t.co/8hd8zXyM9X,NOT,NONE,NONE
1091,hasoc_en_1092,House Approves Court Action to Enforce Democrats’ Subpoenas #Resist #ResistTrump #FuckTrump https://t.co/Ts9QkCQHE3,NOT,NONE,NONE
1092,hasoc_en_1093,Who is @ICC to decide? @ICC @BCCI @cricketworldcup #DhoniKeepsTheGlove #DhoniVsICC,NOT,NONE,NONE
1093,hasoc_en_1094,This is so disturbing #murderer  #nurse   https://t.co/ldUPB9hk8Y,NOT,NONE,NONE
1094,hasoc_en_1095,"@realDonaldTrump Well yeah, and then you enlisted Russia to help you and just did so again. #JohnMcCainDay #TrumpIsATraitor #TrumpRussiaConspiracy #impeachtrumpnow",NOT,NONE,NONE
1095,hasoc_en_1096,"More than 30,000 complaints have been filed against IMA group of companies by the victims #Bangalore #IMA #IMAJewels #IMAfraud https://t.co/ZclYtEPGNO",NOT,NONE,NONE
1096,hasoc_en_1097,#TrumpIsATraitor #ITMFA   Trump Now Says He Would ‘Absolutely’ Report Foreign Help https://t.co/EGUCKeEs7J,NOT,NONE,NONE
1097,hasoc_en_1098,#CWC19 #WC2019WithTimes #ICCWorldCup2019 #ShameOnICC @ICC should hold famous indian 'Denga Pani' world cup in this weather rather than #CricketWorldCup2019 #cricketlive @BCCI @CricketNDTV @Sports_NDTV @BBCSport @ECB_cricket #INDvPAK #INDvsPAK #INDvNZ #CricketKaCrown,NOT,NONE,NONE
1098,hasoc_en_1099,"@next_china @tculpan And we will rally against it, #boycottChina #IPtheft #humanrightsviolations",NOT,NONE,NONE
1099,hasoc_en_1100,I dunno. Syphilis red?  -mao  #BillClinton #rapist #HillaryClinton #RapistEnabler #orangemanbad https://t.co/QS1eoVHsue,NOT,NONE,NONE
1100,hasoc_en_1101,Let's support our Doctors 🤗  #doctors_against_assualt #DoctorsProtest #DoctorsFightBack #doctor #Doctors #DoctorStrike https://t.co/6bqvqtzlZN,NOT,NONE,NONE
1101,hasoc_en_1102,@SassyKadiK Good riddance. That's why I put #fucktrump in my bio.😀I really think there are some fake resisters on here.,NOT,NONE,NONE
1102,hasoc_en_1103,@kylegriffin1 So in other words they intend to do exactly what he said in the ABC interview.     #TrumpsAnInternationalDisgrace   #TrumpIsATraitor,NOT,NONE,NONE
1103,hasoc_en_1104,"‘Flying Object’ Struck Tanker in Gulf of Oman, Operator Says, Not a Mine #Resist #ResistTrump #FuckTrump https://t.co/6YP2GYrlIn",NOT,NONE,NONE
1104,hasoc_en_1105,@matthwatson @TheRealOJ32 We know the real OJ. #murderer,NOT,NONE,NONE
1105,hasoc_en_1106,@ICC I really want rain wash away #INDvPak  match ..... I oppose it.  #terroristNationPakistan,NOT,NONE,NONE
1107,hasoc_en_1108,If ICC allowed Dhoni to wear military  insignia in his Gloves then Fakhar should  be allowed to put a photo of ABhinandan  on his Helmet on 16th June.  #PAKvIND #Savage  #DhoniKeepsTheGlove   #Copied,NOT,NONE,NONE
1108,hasoc_en_1109,"#DhoniKeSathDesh MS Dhoni plays for his country, not for ICC or BCCI and he has every right to keep the badge and support the special armed forces. @msdhoni  #DhoniKeepsTheGlove  #dhoni We love u Dhoni 😍😍    #Support  #BalidaanBadge https://t.co/P7L10FPsMb",NOT,NONE,NONE
1109,hasoc_en_1110,#ShameOnICC in INDIA the SCHOOL KID  know how to use WHEATHER FORECAST before going.....but ..ICC DON'T KNOW   how to use?? ....make me OFFICIAL of ICC....,NOT,NONE,NONE
1110,hasoc_en_1111,I liked the pledge of £350m/wk for the #NHS - @MattHancock do you think @BorisJohnson will make good on his pledges in the order he promised them?    If so he's got a lot to do if he'll sort the internet out by 2025.    #BorisJohnsonShouldNotBePM https://t.co/DkQujogvnG,NOT,NONE,NONE
1112,hasoc_en_1113,@INCIndia @BJP4India #NDA  'Blame is your own..'  'Covering up 'a lack of Democracy' within the CON 'Regress' is not going to improve the fortunes of your Party.'  #congressmuktbharat https://t.co/GV2DmQtO6X,NOT,NONE,NONE
1113,hasoc_en_1114,"@ndtv not just doctor but even I, a common man, civilian / citizen of India is with #DoctorStrike #DoctorsProtest #DoctorsFightBack #WestBengal and always against Hitlergiri",NOT,NONE,NONE
1114,hasoc_en_1115,Official logo of this #WorldCup2019 after some modifications. #ShameOnICC #INDvPAK #Future https://t.co/6aTTnMB5pV,NOT,NONE,NONE
1117,hasoc_en_1118,@losingmycool She is more of a Patriot then that treasonous Russian loving trump. #fucktrump,NOT,NONE,NONE
1118,hasoc_en_1119,@RepMattGaetz #Georgepopodoplis   Say it with us GEORGE POPODOPOLIS  Not benghazi.     #trumprussia only hire the best people.    #Benghazi #GymJordan   #Milkshake #douchebag,NOT,NONE,NONE
1119,hasoc_en_1120,ICC turns down #BCCI's request to allow @msdhoni to continue wearing the army insignia on his wicket-keeping gloves; ICC says regulations for ICC events do not permit any individual message or logo to be displayed on any items of clothing or equipment.   #DhoniKeepsTheGlove https://t.co/q6HncFmx7k,NOT,NONE,NONE
1120,hasoc_en_1121,"ICC's WORST AND FOOLISH DECISION TO SET THE TOURNAMENT IN ENGLAND's BAD WEATHER CONDITIONS AND IN EARLY MONSOON , BREAKS HEARTS OF CRICKET FANS  #ShameOnICC",NOT,NONE,NONE
1122,hasoc_en_1123,"@LindseyGrahamSC #Democrats, the party that excused a #rapist president, do the right thing? 😂😂😂😂😂😂😂",NOT,NONE,NONE
1123,hasoc_en_1124,"#BorisJohnson is the political equivalent of getting a tattoo when you're drunk, seems fun &amp; harmless at the time, then it gets embarrassing, then annoying and eventually you end up resenting it &amp; realise it's going to be very painful to get rid of.   #BorisJohnsonShouldNotBePM",NOT,NONE,NONE
1124,hasoc_en_1125,Read it. Slowly   #Savethedoctors #DoctorsStrike #DoctorsFightBack https://t.co/e4qAfWRble,NOT,NONE,NONE
1125,hasoc_en_1126,@GOPLeader Happy #JohhMcCainDay @realDonaldTrump !  #TrumpIsATraitor  #MAGATraitor,NOT,NONE,NONE
1126,hasoc_en_1127,@realDonaldTrump @foxandfriends @FoxNews Enjoy? Your narcissism knows no bounds. #PrinceOfWhales #TrumpIsATraitor,NOT,NONE,NONE
1127,hasoc_en_1128,No Whitehouse visit this year!  #WetheNorth #FuckTrump,NOT,NONE,NONE
1128,hasoc_en_1129,Painted this in Islington #Boris4PM #BorisJohnsonShouldNotBePM #Boris #Art #Islington #London #PrimeMinister #JeremyHunt #borisbehindbars #politics #politicalcartoons #Political https://t.co/hx3QY6EQyw,NOT,NONE,NONE
1129,hasoc_en_1130,Happy #JohnMcCainDay     #JohnMcCainDayJune14   #FathersDay   #FuckTrump   #ImpeachTrump https://t.co/wZqlEuIXKB,NOT,NONE,NONE
1130,hasoc_en_1131,@JesseFFerguson @ryan1self Don’t forget they haven’t done a White House press briefing in about a year and just fired @PressSec Sarah BS Sanders. #TrumpIsATraitor,NOT,NONE,NONE
1132,hasoc_en_1133,"Dear @msdhoni  It's Not Just a Symbol, It's our pride.  #We_Stand_with_MsDhoni  #DhoniKeepsTheGlove   #DhoniKeepTheGlove #IndiaWithDhoni https://t.co/mXuLUqIx6h",NOT,NONE,NONE
1133,hasoc_en_1134,@nedprice @Thirteen_IN It’s classic #IdiotTrump MO.,NOT,NONE,NONE
1134,hasoc_en_1135,Only people who are truly safe in Bengal are:  - Mamata Banerjee &amp; her party workers  - People who agree to her terms    Law &amp; order is seriously damaged. Not sure if peace can be restored in Bengal after 10 years of goonda-rule.    #MamataLosingControl #IstandwithNRS #DoctorsFightBack,NOT,NONE,NONE
1135,hasoc_en_1136,Johnson has wimped out of a live Channel 4 TV debate on Sunday night. He will be represented by an empty chair ..  https://t.co/WiyeugmCyl    #BorisJohnsonShouldNotBePM  #BollocksToBoris  #BollockstoBrexit https://t.co/XXLOVNb0td,NOT,NONE,NONE
1136,hasoc_en_1137,"As forecasted by me much earlier, #CongressMuktBharat begins with #CongressMuktTelangana     @narendramodi @AmitShah @rammadhavbjp https://t.co/sUMfDMZz1r",NOT,NONE,NONE
1137,hasoc_en_1138,⁦@RepJerryNadler⁩ shuts down Jordan during hearing: I'm speaking.  One thing we can always count on ⁦@Jim_Jordan⁩ being a #DoucheBag     https://t.co/b1dECLHzvR,NOT,NONE,NONE
1139,hasoc_en_1140,@BridgetSterli19 It's so satisfying yet horrifying.#fuckTrump,NOT,NONE,NONE
1140,hasoc_en_1141,"#IMAFraud: So long gullible are existing this type of crafty crooks will thrive    Even to day if some one start similar loot scheme, people will throng in hordes    After this goes wrong they will start weeping in front of cameras",NOT,NONE,NONE
1141,hasoc_en_1142,"Tune in to the latest episode of #Murderish to hear the story of #DJFickey. His death was ruled a #suicide, but #evidence suggests it may have been #murderer. Episode #sponsor @greenchef. https://t.co/IZRUiS0eUv for $50 off! #PodernFamily #TrueCrime #Podcast https://t.co/AK6qBx7tRa",NOT,NONE,NONE
1142,hasoc_en_1143,The 'new law' fake promises are coming!     #SaveTheDoctors  #SAVETHESAVIOUR   #DoctorsStrike   #doctors_against_assualt   #DoctorsFightBack https://t.co/4TwxarIel0,NOT,NONE,NONE
1143,hasoc_en_1144,OH HELL NO! #FuckTrump https://t.co/E9BKqVx1cx,NOT,NONE,NONE
1144,hasoc_en_1145,"@RepMattGaetz @JohnWDean @realDonaldTrump Oh, you poor dear... Fasten your seatbelt. This is only the beginning.     #ImpeachmentInquiryNow  #TrumpsWorseThanNixon  #AmericansForImpeachnent  #NoOneIsAboveTheLaw  #ObstructionOfJustice   #HighCrimesAndMisdemeanors  #TrumpPrison  #TraitorTrump  #FuckTrump    #Resistance 🇺🇲🇺🇲🇺🇲 https://t.co/z6EpwqQDSO",NOT,NONE,NONE
1145,hasoc_en_1146,@ANINewsUP @ANI I could crack a joke about it but that wouldn’t make it any bit the merrier! This is sad beyond the depths of the deepest pits.... #rapist,NOT,NONE,NONE
1146,hasoc_en_1147,What’s worse than a hillbilly?  How about a hillbilly revving a 4-wheelers engine in his driveway for 45 min!  #douchebag!,NOT,NONE,NONE
1147,hasoc_en_1148,What will you do #icc on 16th match of india vs pakistan there same weather like previous match fans are waiting for prope decision from #icc... better you shift all matches to other ground or make some good solution on this regard...#ShameOnICC,NOT,NONE,NONE
1148,hasoc_en_1149,"@bbc5live @Emmabarnett Last nite he didn't turn up to the interview with the public, nor did he today with the journalists...ergo, he's ruled out of the job! Country has had enough of 'scripted' leaders! #BorisJohnsonShouldNotBePM",NOT,NONE,NONE
1149,hasoc_en_1150,"#C4News We're not aware of how many children he has, Jacob #BorisJohnsonShouldNotBePM",NOT,NONE,NONE
1150,hasoc_en_1151,Yeah...hard pass. #FuckTrump https://t.co/ajt52brVc0,NOT,NONE,NONE
1151,hasoc_en_1152,"#DoctorsFightBack to #SaveBengal     Support from Pseudo Secular Politicians make Muslims violent.    Like in #Kolkata, they vandalised a Hospital in Hyderabad in Dec'18.    Ajay Alok https://t.co/zsrRdgLeFW",NOT,NONE,NONE
1152,hasoc_en_1153,How can I remove all OJ Twitter posts from my timeline?  #Murderer,NOT,NONE,NONE
1153,hasoc_en_1154,Hahaha someone is scared. #tRumpIsATraitor https://t.co/s7Xxspk6dN,NOT,NONE,NONE
1154,hasoc_en_1155,Why in the hell is OJ Simpson on Twitter now???? Who would be stupid enough to follow him on here or even tweet to him?? #Murderer,NOT,NONE,NONE
1155,hasoc_en_1156,"'One has to be a lowbrow, a bit of a #murderer, to be a #politician, ready and willing to see people sacrificed, slaughtered, for the sake of an #idea, whether a good one or a bad one.'    #HenryMiller  #American #Writer    #Died #onthisday 1980 in #LosAngele #California    #Literarure https://t.co/HOoapj5bPk",NOT,NONE,NONE
1156,hasoc_en_1157,"@BillKristol @realDonaldTrump your own party is turning against you. We all see you, we know you care only about one thing, yourself. You're done for.    #ResignOrBeImpeached #Corrupt #TrumpCrimeFamily #ImpeachTrumpNow #Liar #LiarInChief #Rapist #Fraud",NOT,NONE,NONE
1157,hasoc_en_1158,@ICC @cricketworldcup 13 year preparations for this ?#washoutworldcup #ShameOnICC https://t.co/hOBijZtv7m,NOT,NONE,NONE
1158,hasoc_en_1159,Prominent white supremacists are still on YouTube in wake of ban #Resist #ResistTrump #FuckTrump https://t.co/rS1m7H9Z2C,NOT,NONE,NONE
1160,hasoc_en_1161,"Time that the agitating doctors and Mamatadi sat for a chat and resolved the issues. Doctors you may be right and have proved your point, but patients need treatment. Let better sense prevail.#DoctorsFightBack",NOT,NONE,NONE
1161,hasoc_en_1162,Deleting 33k emails with recipes in them is the real obstruction... 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 #dickhead https://t.co/Ens564GEm5,NOT,NONE,NONE
1162,hasoc_en_1163,#WorldCup2019 trophy re- designed 😂  #ShameOnICC #CWC19   #RainStopsMatch #Rainyworldcup https://t.co/RpFRxCfkh4,NOT,NONE,NONE
