,tweet,class
6594,@longbongchris mk Hun just textith me,2
6598,@louiev_ lol just getting this..early bird catches the worm!,2
6599,@louisck a video i made -- Porn Actress Sexy Capri Anderson Kissing Video with Charlie Sheen http://t.co/VTH4r762 via @youtube,2
6603,"@luchadora41 so was slavery, prohibition and not letting women to vote... segregation jim crow laws.. etc etc i can do this all day lol",2
6621,"@mafenske I didn't mock anything! Was asked I believed in Noah's arc and said no, how is that mocking any religion? Opinion that's all",2
6627,@mallenokc @royceyoung extra yellow.,2
6628,@mandaxll2963 yellow is even better,2
6637,@mark_mac18 @sheppast @rianscalia groves is trash IMO,2
6646,"@mayarsharkawi Fake pics http://t.co/jtwUu9CYSr get off my TL, u r dismissed muzzie. @Darknight420 @JewJitsuGrl @Begbie_1 @efilnikcufecin7",2
6649,@mayormcginn @usmayors @SenFeinstein White people need those weapons to defend themselves from the subhuman trash your sort unleashes on us.,2
6660,@mdsaab1 lmaoo abo crusty hands,2
6662,@megalexatron trash about us and your from another conference- you can say goodbye,2
6664,@megann_17 you should make me brownies!,2
6665,"@megynkelly 
I don't understand the need for multiple autopsies. I guess they're going to keep on until they can slant 1 against the officer",2
6669,"@mesmart029 Someone recently told me that a local yokel was going to ""use my twitter account to damage me"" so... Yeah.",2
6672,@mfsasso or jim crow laws segregation lynching laws... anti womans suffrage laws... amazing how everyone doesnt want to bring that up,2
6678,@michelle_westt birds of a feather..,2
6680,"@michigannews13 an coaches dont put them in positions to be successful, the offensive struggles can all be put on gardner, program is trash",2
6681,"@michigannews13 wow. Thats great language coming from a HS coach, you sure are a role model, you're trash, just like your account",2
6682,@mickeyhart lookin good mick!,2
6684,@mightyfar they need to stop picking up UFCs trash though and build up there own fighters more.,2
6692,"@mimi_sanabria I really did, right off my bed. Where you put all these dam yellow starburst!!!! *throws them out the window* &#128553;",2
6695,@miquelpaniscus @ArcusGreatApes @graspunep The person actually holding the ape is NOT Paris. It's her sister,2
6698,@mis_sarahd @basedpapi1017 tranny,2
6708,@mobilesuitwaifu All the helmets in Destiny are trash. I wish I could just rock an invisible bubble instead. Hunters look like Robocop.,2
6718,@moneypulatief @globalriot Nee dat is na langdurig gepest worden.Zoals ik al zei:in d kiem smoren.Is ook vb voor t kind hoe je moet optreden,2
6719,@monicawarren16 #pumprules is on bravo...quality trash,2
6720,@monkbent What's with that come-at-me-bro bird? Stressful.,2
6727,@mr_republicann chik fil a. hipotle is trash and taco bell will give you the runs,2
6730,@mrfoolycooly i dont think he did the celestial dragon killed him,2
6736,@mtmcly he will need monkey bars on his tricycle,2
6756,"@neemjemoeder @SvensTweet @Harry_Dillema @wltrrr steek d morele vinger maar in j neus, zelfde soort types bij NATO stenigt vrouwen by bosjes",2
6763,@nhatty_ice49ers thank you jackass zebras,2
6783,@npratc Explains why they're waving trash bags around over their heads.,2
6786,"@nytimes seems if they dont come up with it, its trash, nobody outside hollywood knows what ppl will pay to see..ha! Guess those in hw dont",2
6790,@obamac0re I don't like it peaceful that's boring I like fighting I come from the ghetto do u remember that it's p impossible for me not to,2
6792,"@ofhdirector Everybody, look at this bird-killing wind mill lover. ;-)",2
6799,"@oliver_______ if you're making 300 clams for betting 5, i hope you do it for a living",2
6800,"@oliviagobert lmao yes I kind of like it it's not that ghetto yet &amp; they are and then he says ""u feel me"" &#128525;&#128525;&#128557;&#128166;",2
6803,@operationSAFE @GaltsGirl lived there and can attest to that. Trust them over any muzzie nation by a million light years,2
6804,"@orchetect Are we doing Mad Libs now? Cool. Uh... 
Twinkie 35' long, DJ Pon3 cameo, Magic&#8482;, Crystal Tree. #TNGSeason4Finale",2
6806,@osnapitzthorne @AcaciaBrinley trash?,2
6814,@panchoftf red and yellow it should be then,2
6815,"@paolo Like...Charlie Chan-style? (Never saw that, either.) Hmm...makes me think of the ""Cockneys"" in the Killzone series.",2
6818,@patrickkimmis @White1979 Remember Dad running a rotary hoe over corn after a freeze to knock the dead leaves off after they turn brown,2
6820,@pauIjac because their parental unit is trash.,2
6821,"@pcrossvol there's always one...they never realize they are the worst- the unsolicited unaffiliated trash talker""",2
6825,"@petehelm yeah, but Sting was already a proven draw. this is apples and oranges. he signs people with the sole purpose of burying them.",2
6827,@peteyhoti that funky monkey,2
6828,"@phalaenadispar 
How day feel bout colored folk?",2
6844,"@politicsofamy Whoa easy Amy, don't slag the Canucks too much with such a generalization",2
6851,@pontotoc2 Aren't they the best? There story is here: http://t.co/Hs3nIFMueK. Now it's time to visit our yellow friends at @21cCincinnati!,2
6857,"@pragathiguru , i'm viswa moulie. I wanna be ur friend.. Please, shall i ?",2
6871,@prtini Yes. And the @Yankees. And stalking weird people. SO MANY THINGS. #pr20chat,2
6872,"@pubsubs @Adessences @tzanchan86 btw, genocide isn't war. The people of Gaza are no more combatants than the people of the Warsaw ghetto.",2
6880,@rachaelkbrown @BillyButlerKC @Oreo unexplainable!,2
6881,@rachel_gautreau @babyydrey hey Rachel G my name isint Kenneth ok let's just get that straight &#128070; you best be backing off before I go ghetto,2
6887,@ramaxe1965 dubya hates todays teabagger movement.,2
6889,@rasheedibrahim_ once it gets cold yall gonna be trash again lol,2
6890,@rashidgill5 I'll see you guys later. I gotta go bake my blood crackers. @RazaHussain101,2
6893,@ravenalegria13 @prattprattpratt I was impressed that anybody could chug a Smirnoff Ice that quickly.,2
6895,@rbigwood @GameOfArmsAMC of course! Win or lose you always had the most exciting matches. Spilt blood and all and you aren't a trash talker!,2
6896,@rbigwood when Hollywood Underwood took his shirt off and started screaming in the dark hah like a horror movie with the nips!,2
6912,@regankelly91 go the gulls. First grade should be a cracker. Physical!,2
6915,"@rem @slicknet @netmag right, so the link would be your trash bin &#8230; gotcha",2
6924,"@richarddeitsch yeah,but the cripple not getting up clean helped the call out...wouldn't have been fair either way",2
6941,@rochaaxx yellow,2
6943,@ronniecaine so 'how bout now' was just trash huh.,2
6948,@ryancommakerry @dianaaaxo @JennaAmendolare guys number 42 on the Yankees looks like uncle Stevie LMAO IM DYING,2
6952,"@ryanhoover like we all never gave the camera ""the bird"".",2
6962,@samzbikowski chug ranch,2
6965,@sandcowboy31 hey it's hillbilly jim and Greg the hammer valentine #pffttt,2
6966,"@santagati that's bc I deleted ""visionary"" once I saw your subtweet. next time just @ me tho. (and I do love jail bird dresses.&#128513;)",2
6980,@savannahx___ negative slopes aka a chart of my grades in math,2
6993,@schola_gomes oh I'll make you some brownies alright;))),2
6997,"@seanphathaway That wasn't as bad, though drawing conclusions about ""WHITE AMERICA"" based on a 1,000 person poll is a slippery slope.",2
7002,"@secretasianman @kitt Yeah, she's a real pom maven.",2
7003,@section90sSoul yall defense too trash for that &#128514;&#128514;&#128514;,2
7005,"@sekhmet1975 Cactus is a yellow lab chow mix too! Hershey was everybody's ""active"" buddy. Cactus is one special pup. She's an Angel.",2
7006,@selenalinn_ the jets are trash my bad i see what you meant &#128514;,2
7007,@selina_dabbagh the song? About pollo hermanos and Heisenberg?,2
7011,"@serenity_23 I assume so, the tranny went out this morning. I have a maxima.",2
7012,@sevensixxx_ @oldirtyjesus great reply except it was trash,2
7016,@shanetallant he won't bite! We promise he's a friendly bird :),2
7032,"@shrekkalove 
You speak colored too?
I thinks I be in love",2
7034,@simons_lives keep in shape for the ski slopes,2
7035,@simonslives @recordstoreday cheers dude might nip to town for #TheEditors #Vinyl ;-) #MusicMatters,2
7036,@sippey That's where birds came from.,2
7037,@sisternoles Fingers crossed for you. If not? Chug chug chug lol,2
7045,@skyereyes_ you a Oreo cookie now.,2
7046,@slayerific13 @brenda_skelton @daisymcgarr Don't get me wrong G.. I'd hunt birds but that's a lot of work &amp;.. well I just ain't that hungry,2
7047,@slayerific13 @brenda_skelton @daisymcgarr I don't hunt birds unless you count shooting dove out of season off my power line with a bb gun,2
7048,@slayerific13 @daisymcgarr Like I said.. I might have to check but I'm just not sure bird shot counts as getting shot.,2
7050,@slickbackjr_ I forgot you're the same bull that said Yeezus was good and that J.Cole is trash http://t.co/KkuZV5pdDr,2
7058,@smokeabluntdgaf @Haiimbreanna You guys don't get evolution do you? You only share a common ancestor with apes.,2
7060,@snortcourt13 @TripleAAAYY1995 @c_allen21 @JBake0622 apes,2
7063,@solopo82 y'all got the Taxis right now? And can I get the Oreo 5's right now if possible?,2
7072,"@spence1reed_ bro , i heard slaughter songs .. they all trash .. they just freestylers",2
7075,@sportswatch time to dump another diet coke in the trash,2
7087,"@steve_phillips_ funny, I thought @bobmuellerwkrn #tbt 90s photo this week would have you hanging me over a trash can by my ankles",2
7095,@strawberrycoca ling ling krunkchip,2
7096,@suchy_monster you make me feel all warm and fuzzy inside &#128522; #youCANsitwithus,2
7106,@sweetlou462 Lol. Have fun! &#128516; I haven't been to a race since HS (Charlotte). Crazy redneck times. Lol.,2
7107,@sweetlou462 thanks Hun. &lt;3 I'm so crushed. I love working out. It'll be 2months gone by the time I go back. :/,2
7109,@syd_renae okay cool then I'm not the only one &#128520; mine is black and fuzzy and it has PINK on the back in all sparkles &#128081; hallelujah,2
7119,@tarbetto. Find one where be beat Nathan Moons head into the ice too. Ol Andrew is straight trash as far as hockey.,2
7129,@tayscalf must have run out of brownies,2
7132,"@tdwp327 practically anything that&#8217;s colored red often contain red pigments extracted from the female coccus costa, or cochineal insect.",2
7134,@team_Darrion night jigaboo http://t.co/vxKCG4yGXF,2
7135,@teapot Great GIF. Got a source URL for @gifs?,2
7140,"@terrorwatchusa .....I think its about #Whites trying to be the most #Blackish ......what we in Socal call ""wiggers"". #liberals #democrats",2
7147,@theeCHACO @danawhite you watching this trash?,2
7148,@theejustinholt the redskins are doing pretty good this year &#128514;&#128514;,2
7149,@theejustinholt trash of the cowboys beat the redskins twice last year &#128517;,2
7151,"@thejokerxo nah, they let French Montana spit trash at will",2
7157,"@thelovemaster ""I'm gonna nip you right in the bud!""",2
7162,@thereal_EMandM I'm off whenever I feel like it. I'm off til Monday. And you put in your two weeks flip them the bird mannn,2
7164,@thereal_EMandM texans d/st won't play the redskins again this year...,2
7165,@therealduxy @TKFan01 *too pretty...not *to pretty. Jeezus...my redneck education is showing.,2
7166,@therealjuicyj @ProjectPatHcp yea ho,2
7183,"@tmundal just because some moist bint lobbed a sword at you, you think you're some la-de-da king?",2
7185,"@toddgunter This, this, this. Pack it up and head to NYC, please. Enjoy being called a hick for a few years, come home humbled. #plans",2
7187,@tonipmusic woahh!! Ahha I remember her from Charlie and the Chocolate Factory! Who do you think killed Lucy? I think it was Abby,2
7188,"@tonynolanlive ""There is a special time and place for decaf coffee: never and in the trash."" My family's motto about their java habits. &#9749;&#65039;",2
7191,@tracieeeeee wha? me? i'm just waiting for showtime to bring back queer as folk.,2
7193,@travistefft I know how you feel....I never thought I'd see the Sox win in my lifetime. Hope you can use Ant's Yankees hook up to see a game,2
7194,@treagle05 early bird gets the worm tomcat,2
7207,@truckpartstores Intended to get pics but didn't have time.. Must be a mud race/event here this weekend.. Is like a redneck convoy out there,2
7209,@true_east_ trash what? http://t.co/IUdvnQCkB4,2
7213,"@tsmith4569 Sorry I missed that, you mean where I live is disgusting or that that muzzies in the UK r disgusting, or both? Have a great Sun.",2
7219,@tweebest clam it,2
7220,@tweetstar10 Saw that there's a 15&#176; slope to the wire? That enough for a zip-line? #businessopportunity,2
7225,"@tyler_wilde As in, ""throw birds with long pointy beaks at you""?",2
7226,"@tyler_wilde CH3BURASHKA sure gets to be a nit-picky Russian monkey/bear thing sometimes, doesn't he?",2
7227,"@tyler_wilde I'm just saying, it's not like you were up against a bird-eating spider or something. Bet @Pseudobread coulda done it",2
7229,@tytytooflyy ima fill ur clam out,2
7232,@uk3ba Just learn d dance nuh cuz u know after carnival we like to pick up months old yardie ting LOL,2
7237,@urbasicyabish nigor??,2
7244,@valerie91097 uhh messi trash . and im flattered but what was the games scorre,2
7250,@vanessa32m honestly the performers on there red carpet were trash hahahaahahahaha,2
7252,@vernon1488 this is my female grand champion Jesse. She heard a bird outside. http://t.co/1OINieeJ9c,2
7255,"@vh1ADENECA @260chocolate @4Sunshinejones1 aye, I respect ya hustle and all but dont tweet me anymore trash ass videos...thank u kindly",2
7268,@walterthecat121 @GalliumRBLX how is it being colored blind?,2
7269,@washingtonpost The people who work at those companies tend to be trash.,2
7271,"@wbpictures no, i do not wish to spend $40+ to go to a filthy theatre and watch a fuzzy screen with bad sound. #ANNABELLE",2
7285,@whits_20 @AjalaPilgrim Yankee? &#128530;,2
7286,"@whits_20 Good read -&gt; RT @WIRED: Why your cat thinks you're a huge, unpredictable ape http://t.co/nzA3zUwugp http://t.co/P8F8Gmkufy",2
7293,@wienerherzog Perfect stock photography for an article about not letting a leprechaun-looking handyman get into your liquor cabinet,2
7307,@wodaeeex3 it didnt open das y i asked cus i thought yu ate wat i had Pork chops yellow rice n beans,2
7340,@xiibyte just watched your video good stuff thought I'd let you in on the new boss boon says old character but will be surprise. It's Argus,2
7347,@xtinel @Linda1MMAGC No not at all. It's a slippery slope. Just don't want to lose my right to self defense. 1st its background checks then?,2
7348,@xtruthseekerx_ blaxican,2
7357,@yfly23 mock draft?,2
7363,@yobritttany wagon burner! Jk jk you did look pretty Latino here,2
7368,@yooperslayer better off banning teabaggers and their anti American supporters,2
7375,@youngscooter ghetto gold needa be the first music vid!,2
7378,@yungdipIo @Iemonaids like I really want a rafter monkey,2
7393,@zhandlen I love WHITE NOISE and love Delillo. I&#8217;ve resisted reading HOUSE OF LEAVES for years. It mocks me on my shelf.,2
7399,@zt0mm lucky monkey,2
7403,A GWB appointee. There goes the ACTIVIST JUDGES slant. Oh wait? It's already been exposed as completely farcical. A GWB appointee.,2
7404,A MESSAGE FOR ALL OF HUMANITY ~ Charlie Chaplin @mobengalfan @DISL_Automatic @mikehoho http://t.co/itDIRcNt7y,2
7406,A Yankee win makes any day better.,2
7411,A bird just flew into my window?????? I hope he's okay &#128563;,2
7427,A ghetto girl's best bet is to find work at a call center and try to climb that corporate latter.,2
7438,"A homeless dog living in a trash pile gets rescued, and then does something amazing! Please share. http://t.co/SzpStdxmn6 via @youtube",2
7442,"A light, tender yellow butter cake with a classic boiled icing, traditionally made from burnt sugar http://t.co/XPQKTlTNkH",2
7452,A new way to look for aliens: find their trash &#8594; http://t.co/n9CTH1jrda,2
7464,A pharaohs nd his angry bird http://t.co/jMC2eR32Ka,2
7465,A random am scroll lands me here...RT @HarryRelloFonte Charlie horses durin sex just simply means you didn't drink enough water that day,2
7468,A shockingly true tale from the Oreo that almost got devoured. http://t.co/WYIS0LVdsi,2
7469,A squad of dyke cholas fear nobody. They worse than the cartel,2
7471,A teen was running around Target in monkey pjs screaming OO OO AH AH &amp; the fitting room girls were cackling. Was today designed to annoy me?,2
7473,"A white lighter is bad luck, not yellow ur stupid",2
7475,A yellow jacket landed on my mouth and stung me while I was cutting grass..safe to say he won &#128029; http://t.co/caYUcS8O01,2
7476,A-Rod said the number #13 he wears on his uniform is for opposing teams to fear him but the fact is A-Rod is a damn cancer to the #Yankees,2
7481,"AND #NorthKorea called #Barack a monkey. LOL! 
RT! 
*If the shoe fits! 'Cause it sure looks like he married one! 
http://t.co/F0pGDalfaA&#8221;",2
7483,"ATTN : All Brown University students, the stop and frisk protesters will be systematically dispersed into random U.S. ghettos. Good luck.",2
7491,Absolutely absurd that they even had to think about that call. #joke #zebras,2
7493,"According to my brothers iPod, its December 1969. If so, I predict that Mickey Mantle of the NY Yankees will announce his retirement March 1",2
7494,Acid yellow http://t.co/hkpOM1iM,2
7498,Adam West? RT @share_ps4: LMAO this is trash b http://t.co/TsvuMw92HU,2
7503,After Deztinis session we needed this lmao Jk girl good yob lol http://t.co/3spfhBBkVD,2
7505,"After Kuroda gave it his all putting up career numbers but getting no run support, the Yankees don't deserve to get into the World Series",2
7507,"After seeing Kansas play Duke a couple weeks ago, I could tell you I'm surprised that Charlie Weis has been let go...but I'm not.",2
7526,Ain't no love in the ghetto &#128148;,2
7550,"Alarm set, early bird n all that. Night all xx",2
7554,Alex Smith wears red and yellow now so quit being psycho ex boyfriends and get over him. He's in the past,2
7555,Alexa's phone gave us colors and Julia got yellow I'm dying #racistaf,2
7556,"Alfredo, Linguini, Pasta.... Just fancily prepared trash",2
7561,All I did was said her weed was trash,2
7562,All I ever want is for someone to love me as deeply and devotedly as Charlie Kelly loves the waitress.,2
7571,All I want is cheesy bread and brownies &#128523;,2
7574,All I wants is to represent da life o da colored man.,2
7576,All Okies are trash.,2
7584,All da white folk off twitter yet? Da colored tweet at night while y'all sleep cuz you gotta woyke tomorrow.,2
7587,"All good things must come to an end, that's all right get 'em tomorrow #Yankees",2
7592,All my gold is white not yellow.,2
7599,All my so whitey bois gone ride,2
7628,"All these afternoon groups are trash besides the Bubba, Keegs and Furyk group #TheMemorialTournament",2
7650,"All trash RT @nicekicks: Now that's a lot of stolen shoes...

https://t.co/q0wswXE7Fw",2
7675,Almost half of North American bird species threatened by climate change http://t.co/dWSYB5BodA http://t.co/F0PVuLNf4c #Climate #Environment,2
7688,"Also, it&#8217;s a hiccup to Jihadi propaganda: they portray themselves as the only ones willing to die for their cause.",2
7691,Always thought golden Oreos were the same as original Oreos but oh my god I just climaxed,2
7695,Am I the only person that feels disrespected by the bird poop suddenly dropping on your front window:(ewww#annoying,2
7697,Am ghetto http://t.co/kgu2SePIQZ,2
7698,Am so high that birds and planes are my peers,2
7703,Amazing. You know what they say about birds of a feather http://t.co/mefmPB3aW5,2
7708,American culture is stuck to the side of the toilet. Graffiti writers in Europe can create better art without any lowlife trash sex jokes.,2
7710,Amo hangs http://t.co/h8UQDrjeCb,2
7743,And it's gotta be some ghetto fool :/,2
7750,And now Jihadis bragging about a massive bombing in Sadr city in Baghdad. #Iraq #onslaught,2
7752,And of course some rascally #teabagger on the radio is blaming the 19 dead AZ firefighters on #biggovernment. Oy vey. #tcot #p2 #teaparty,2
7763,And where do you think unsold items from thrift stores go? The garbage. Think of all the great games that are in trash dumps as we speak :(,2
7769,Anglo-Saxon Mike Oz,2
7773,Annoying yelling bint next door has locked herself out.,2
7777,"Another major development in the Jihadi circles: Al Maqdisi, hardcore jihadi theorist asks specifically for relief &amp; aid workers&#8217; release",2
7779,Another season of retweeting every one of @nikaaaa3 's Yankee tweets! &#128514;&#128514;&#128514;&#128514;,2
7788,"Any solution to ZOG which doesn't deal with demographics - only laws - is no solution.
#NorthwestImperative
http://t.co/Vhy5s2apCn",2
7790,Anyone want some absolutely amazing and deliciously fresh perfect monkey bread? &#128586;&#128584;,2
7796,"Apolonia Gardner of Imperial, CA misspells ""phalarope"" - a bird that resembles a sandpiper. The dreaded schwa! #spellingbee",2
7797,"Apparently I got chunky for my bday. Worse bday present ever. Lol. 
#diettime",2
7798,Apparently im a honky. Pfft. Like that's a bad thing.,2
7801,Apple need to add some colored emoji,2
7803,Appropriately this guy wears the WV yellow Rick James on his face. @BarkingCarnival http://t.co/SGb9rYvdmb,2
7805,Are poor little guinea pig died :(,2
7808,"Are you tired of the ""mock drafts""? Let's just do this: If Clowney is not the 1st pick, who thinks Round 1 becomes ""chaos""? #ShowOfHands",2
7809,Aren't these little border jumpers supposed to be in school,2
7813,Arroz con pollo,2
7815,"As Chanice say that, I realize the coons move from drinking Moet to Belaire. All yuh feel all yuh so fancy with all yuh $30 champagne eh",2
7825,As soon as a Democrat gets a chance to ? the political hack #foxnews goes to commercial then back with Bolton LMAO #teabaggers #benghazi,2
7833,Ask the governor how we are supposed to pay for this? Typical #teabagger mentality. Government is EVIL until we need them LOL #morningjoe,2
7838,At a point where I've got to make a tough life decision. Ice black translucent sole or solid black sole on my KD VI's. Blk or orange airbag,2
7839,At all my ritz crackers. Idk what to do with myself anymore.,2
7841,At pussy cat lounge killin it with my girlz @blaqdior and @hpmiss,2
7847,"At this rate, I'd cheer for the awful New York Yankees over the St. Louis Cardinals.",2
7848,"At work but wish I was floating in my 15 ft., on sale at Walmart, redneck pool that my husband probably hasn't cleaned since last weekend.",2
7849,Ate the receivers really fast or is pass coverage trash?,2
7856,Average is basic and basic is trash &#128514;&#128514;,2
7864,Ay what are some good bars/clubs to hit up in Denver?? Should be up there Saturday night to coon out.,2
7866,Aye a nicca is tired tho!,2
7873,Ayo I jus had a mini heart attack behind the wheel..north Philly n fire crackers don't mix&#128553;&#128553;&#128514;&#128514; I&#8230; http://t.co/o5v2E4LFtm,2
7879,Ayyyyy I'm sipping on a free slurpee and seeing The Front Bottoms tonight. I'm a happy clam.,2
7880,"BASICALLY, #GOP, #ROMNEY, right wing reactionaries, drudgies, teabaggers, libertaritards, all hate our education system and teachers.",2
7891,"Baby I'll whisper Vietnamese to you all soft like, ""ching... chong ting o long....""",2
7935,Bags Bags that's that bag money trash bag black and it's filled up with money,2
7937,"Baked Montreal chicken, cheesy brussels sprouts, garlic butter triple cheddar &amp; chives yellow mashed&#8230; http://t.co/XsGW1kSqCW",2
7942,"Bank robber who wore zebra-print dress arrested, police say http://t.co/UUQ0bw6vju",2
7943,Barkley is trash,2
7944,"Barry's (whitey) brownshirts run wild in Oakland. Following the lead of N.W.A., punks chant F the police. http://t.co/9nBUrmTJ",2
7946,Baseball isn't the same without the Yankees in the playoffs &amp; basketball isn't the same without the Lakers in em.,2
7947,Baseball......... w/ @voxpulchra for her birthday for some reason? Lol (@ Yankee Stadium) on #Yelp http://t.co/9hIFDcZWQY,2
7954,Bathing Sphere: Suspended Orb Tub Not for Shy People http://t.co/OHv7xbr6wo #bathing #design #weird and yet #cool,2
7959,"Be fearful of the wrath of God in a country where many mock Christianity, embrace perversion, abortion, and bows to PC/multiculturalism.",2
7963,Beans that were yellow before Friday night are brown now-a few green leaves curled-frost but not freeze-bean size reduced - top end shrinks,2
7968,Beautiful Fairy Elegant Dress http://t.co/ouxWbYTUt6,2
7974,"Because if nobody was judging the birds, this account wouldn't even cause a ripple in d ocean",2
7977,Been Huntin hard and finally nailed her. Best wedding koozie I've ever seen. #redneck http://t.co/D6SBSYaNN2,2
7992,"Being coons &#8220;@FatTravis_6200: At??? @TiFFANY_P0RSCHE: Y'all are amazing.""&#8221;",2
7997,Bengals kicker trash.,2
8000,Best behaved kids ever at mommy's commercial audition. Oreo McFlurries for everybody! #proudmom&#8230; http://t.co/9HFNSmaLcU,2
8001,Best of luck to Tino 'The Bambino' Martinez in Miami (your legacy is saved LOL) #Marlins #Yankees #RedSox #MLB,2
8002,Best rider? That goes to a blaxican.,2
8003,Bet Charlie Strong has contacted Ridley,2
8004,"Bet they want a cookie, Bergbrain? You mean like you want a cracker? Kinda bitter here today aren'tcha? #stribpol mngop #mnleg",2
8014,Big Red and fat squaw ...lol my hubby is so funny!! #insidejoke,2
8015,"Big Squawk: Q: when will DFL dump Ryan ""Uncle Tom"" Winkler? 
} Not going to happen Berg
Bleat on.
#mngop proud #stribpol #mnleg",2
8016,"Big bird holds press conf claims ""he does not care for the letter f""",2
8024,Big night of &#127936; #hoosiers #iubb #big10 and #pacers #nba #indiana #hoosierstate #paulgeorge #codyzeller http://t.co/UFmje1gk,2
8029,Bigots demand recount in #Idaho #gay rights ordinance referendum http://t.co/TorYEXxMwi #tcot #teaparty #teabaggers #lgbt,2
8101,"Bjergsen just made a full AS rune page. I don't just me full AS reds and Quints I mean AS reds, blues, yellows, and Quints. 47% AS",2
8107,"Black guy in class: *attempts to throw a paper ball into the trash*
*misses* 
Mrs. Mundy: ""You're a disgrace to your race, Marcus""
&#128514;&#128514;&#128514;",2
8135,Boston's Jihadi Nest and Student Arm of the Muslim Brotherhood &#187; Joe For America http://t.co/4IfJwoeSDR via @RealJTP,2
8143,"Bought this Lp in Manchester the other week, had no idea it was coloured vinyl. Man what a steal!!!!! #VinylGasm #Re-Machined",2
8148,Bout to make some brownies in a few.,2
8171,Brandon Jennings trash,2
8173,Breakfast fried chicken jerk chicken Tater tots white rice nd press yellow rice nd beans Mac nd cheese http://t.co/Usz8gJnZl0,2
8174,Breakfast of champions shrimp lobster balls (no sandusky) French fries nd a nice big Quahog (clam for&#8230; http://t.co/UajUkcoAfV,2
8181,Brilliant job by @NelsonCanache to limp it back to the pits without causing a yellow. Wish he didn't need to though. #PLM,2
8200,Brown is a color so my eyes are colored,2
8201,Brownies brownies brownies,2
8202,Browns and redskins shouldn't be considered nfl teams,2
8212,Bruh... @theofficialeg10 soo trash....,2
8235,Burnating all Yankees and their thatch roof cottages!!!!!! #Astros http://t.co/j3dZiwBDt0,2
8236,Burritos are trash,2
8244,But I callin out da race card. Ain't no colored podcasts out dare,2
8256,But rich is a light skin coon. So it's expected.,2
8274,"Bye, Bye Charlie Strong.",2
8276,CAIR Publishes a Hit List for Jihadis http://t.co/hvVfXypmHm via @RealJTP If you are a red blooded #American you may be on the list..,2
8283,California has gangs because California is trash.,2
8295,"Calling out teabaggers, conservatives on their BS: http://t.co/l8Qx8RMjrG via @YouTube",2
8302,Can Charlie Crist pull one over on Rick Scott? Well he did pull one over on #floridaprimary dems tonite. #TPOT #Election2014,2
8307,Can I double stuff your Oreo?,2
8318,Can someone get me cheese and crackers,2
8319,"Can someone please explain to me, Why are the birds so angry &amp; destroying pigs' homes?",2
8326,Can we bomb the selfie-monkey out of my timeline?,2
8327,Can we revisit @ChairmanL's idea of two teams of @Yankees playing against each other? I would like to see a game every now &amp; then.,2
8336,Can't be many things worse than having COPS interrupted because a friggin Yankee game is still going on.,2
8337,Can't beat a score of 12 on flappy bird #givingup,2
8339,Can't find my BC powder .. I'll just chug this children's Advil,2
8359,"Can't stand the Yankees but Jeter hitting a home run in his final at bat in NYC would be cool. 

Getting beaned would be better!",2
8361,Can't stop eating graham crackers,2
8363,Can't tell if Mexico has been impressive or if Brazil has just been trash today,2
8369,"Can't wait till I get my full appetite back. Only ate a half ghetto sandwich. No lettuce, no nothing.",2
8381,Cardinals score 1st. They lead 1-0 in the top 3rd with birds on base. #NLCS #SFvsSTL,2
8386,Casey Matthews is so trash this is BIG,2
8396,Cavs trash too,2
8403,"Chaber Books: BRAGADAYJAH 24 http://t.co/bTMLYNNKZp: Nimrod the Cushite, first king of the earth. See Bragadayjah 24",2
8404,Chaber Books: BRAGADAYJAH 315 http://t.co/qTr6lzCsdj: Further restrictions on eating certain insects and birds,2
8406,Chance is trash,2
8410,"Char-broiled #cod, yellow #rice, saut&#233;ed spinach and artichoke hearts. Made with love for @voxpulchra.&#8230; http://t.co/vWjWlghRGO",2
8412,Charles Tillmans' eyes are more yellow than corn,2
8414,Charlie Baker for Mass Gov..the most lib newspaper in most lib state supports 'R' for Gov! DoG http://t.co/DRSXOzTRUI via @BostonGlobe,2
8415,Charlie Baltimore look good for 45 &#128563;,2
8416,Charlie Clips vs Yung Ill review http://t.co/TwHJ0w1QJQ,2
8417,"Charlie Crist (R, I, D - FL) rumored to demand a recount. #sayfie",2
8418,"Charlie Crist Losing 50,000 Florida Jobs To Raise Minimum Wage Is &#8216;Worth It&#8217; - Conservative Byte http://t.co/y3JYJ2Yf4L via @conservativebyt",2
8419,"Charlie Crist and Rick Scott are both scumbags, however interesting that Crist has yet to run one, just one, positive political ad.",2
8420,"Charlie Crist has asked to keep polls in Broward open until 9pm, claiming long lines. Media reports say turnout light in Broward.",2
8421,"Charlie Crist wins Democratic primary in Florida governor's race, AP projects http://t.co/Gy9uRBtQ1q via @WSJ",2
8422,"Charlie Crist, outlawed, hated, rediculed and vilified for shaking the President's hand. What a country! What a democracy!",2
8423,Charlie Daniels Goes Off on &#8216;Satanic Evil&#8217; http://t.co/3haWjFavUz,2
8424,Charlie Daniels couldve done a better job! #MNF,2
8425,Charlie Furbush #WhyDidIGoogle @midnight,2
8426,Charlie Jacobs got confused about the ice bucket challenge and instead dumped a bucket of diamonds on his head.,2
8427,"Charlie Kimball: ""I had nowhere to go"" http://t.co/x5gyZ46koT #IndyCar #MAVTV500",2
